@relation 'creditcard-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute V4 numeric
@attribute V10 numeric
@attribute V14 numeric
@attribute V17 numeric
@attribute V20 numeric
@attribute V24 numeric
@attribute Class {0,1}

@data
0.516332,0.057384,0.877057,0.022102,-0.083454,-0.270473,0
4.57651,1.335948,0.848946,0.763677,0.220403,0.034046,0
-2.715418,0.391886,0.469713,0.681258,-0.206812,-1.821121,0
2.589843,-3.226787,-5.160608,-4.695563,0.644993,0.131738,1
-1.350039,-0.279902,-1.390315,0.373811,0.306424,1.167011,0
2.237991,-2.705011,-2.953824,-5.585794,0.087406,0.392505,1
0.892653,-1.309034,0.919357,1.144631,1.10725,-0.201347,0
6.689951,-11.56195,-13.883779,-18.103004,1.191444,-0.778379,1
-0.526678,-0.684266,0.541583,-0.139195,-0.072697,-0.026025,0
1.280285,-0.070969,0.010019,-0.635974,-0.041379,-0.477064,0
1.444269,-1.536529,-0.231485,1.185634,1.2645,0.367587,0
-0.148721,-0.554751,-0.789318,-0.384617,0.236626,-0.476714,0
1.307668,0.480891,0.884942,-0.492152,-0.390532,-0.006633,0
8.786257,-13.074068,-11.470693,-21.04763,-0.617296,0.625349,1
-2.546592,-0.833279,0.182116,-1.017085,-0.280567,0.729928,0
1.066297,-0.160127,0.001776,-0.243012,0.089405,0.542221,0
1.064785,1.785922,3.442422,1.418215,-1.45761,-0.88367,1
8.117724,-7.334377,-10.242859,-8.697777,0.227526,-0.520199,1
-2.75583,-1.053891,0.643228,-1.034985,-0.217142,0.275161,0
-0.511614,-0.781505,-0.374187,-0.258901,0.241427,-0.721942,0
-0.618655,0.426393,-1.255715,1.234494,0.052266,0.484862,0
5.463681,-0.423784,-5.152475,-1.646505,-0.299374,-0.078616,1
2.425436,-2.892612,-3.724543,-2.8156,-0.032334,0.492054,1
2.641434,0.469495,-0.136433,0.022985,-0.17862,0.062823,0
4.127549,-3.555835,-5.588786,-7.457095,0.338598,0.013566,1
7.334059,-5.258096,-12.289133,-2.039703,0.804101,-1.140436,1
3.986519,-2.276733,-7.122316,6.443649,-0.200846,-1.048058,1
1.657766,-7.509557,-8.388443,-6.103903,-0.004301,-0.326638,1
8.416295,-6.864164,-9.909168,-8.522975,-0.06478,-0.536294,1
0.514779,-1.000805,-1.422064,1.734742,-0.211167,0.460049,1
0.331176,-0.136411,0.152067,-0.549353,-0.270869,0.587114,0
0.317131,-1.039638,-0.660968,0.278142,-0.115282,0.25528,1
3.89116,-5.995676,-8.149322,-9.315001,0.576379,-0.743165,1
0.382609,-0.989431,-1.886162,0.978546,0.150727,0.388335,1
0.434232,0.91376,0.116069,-0.345361,-0.456484,-0.03626,0
-0.566618,0.427431,-1.307622,0.206022,0.084745,-0.762232,0
-1.520182,1.591699,-0.134429,0.037963,0.229195,0.164119,0
1.411304,-5.624677,-3.811428,-7.311407,-0.130438,-0.282078,1
6.017295,-9.222826,-9.825054,-14.259599,1.53492,0.108176,1
6.348334,-7.74848,-8.107975,-13.753131,-0.614719,-0.434643,1
5.581009,-14.67647,-9.798012,-20.740664,-1.025228,0.763508,1
1.524686,-0.363315,1.955863,1.08469,0.228263,0.203871,0
-2.686744,0.781423,-0.459051,-1.348344,0.617027,1.024108,0
8.005351,-3.05121,-10.716339,0.918591,-0.634747,-0.50862,1
0.694992,-0.887242,-3.688826,2.347023,-1.424486,-1.051685,1
6.675732,-6.187891,-10.691196,-1.129056,0.488378,0.12894,1
5.342759,-3.202436,-8.485795,-1.372629,0.313332,-0.01882,1
1.836727,-4.363102,-3.087743,-3.172028,0.443489,-0.1555,1
-1.734468,-1.084268,-0.038439,-0.461808,0.092061,-1.203418,0
0.160436,-0.467819,1.115988,0.349574,0.022918,-0.121862,0
0.274555,-0.332312,-0.098847,-0.388279,-0.314968,0.600937,0
4.544772,-4.250717,-6.964972,-6.419539,2.109403,-0.162929,1
7.788684,-4.891156,-5.853545,-12.623856,-0.505608,0.01496,1
5.304534,-6.285424,-12.457999,-3.243686,0.531574,-0.22048,1
-1.186483,-1.591674,0.247883,2.339599,-0.3834,-2.144273,0
-1.803416,1.679139,-0.47892,-0.245583,-0.349836,-1.104196,0
6.037345,-2.271526,-4.692788,-2.286145,1.198537,-0.287467,1
0.149892,-0.251164,1.15176,-0.43579,-0.116699,-0.135803,0
0.17165,-0.136769,1.813969,-0.255163,-0.215082,-1.504434,0
2.555058,-3.075558,-4.267296,-2.819906,0.548106,0.714381,1
-2.755335,1.168862,-0.184935,-0.454146,-0.388649,-1.086968,0
-0.073943,-3.216188,-5.748943,-2.705052,-0.250583,0.3931,1
-0.542403,0.043136,0.535085,-0.611147,0.610829,-0.325449,0
1.1769,0.179773,0.617412,-0.433914,-0.164762,0.191303,0
5.902715,-7.502112,-8.29966,-12.075932,0.299489,-0.177733,1
-1.4841,-1.872954,0.396551,0.637932,-0.443386,0.433722,0
0.761768,-0.665341,-0.895439,0.427084,0.420766,-0.065114,0
6.349248,-8.303239,-6.576276,-12.218482,1.658289,0.156667,1
-1.454087,-0.815032,0.710293,0.008287,-0.210174,0.033655,0
-1.26604,-1.1389,-0.085834,-0.256686,0.153512,0.777392,0
