@relation creditcard-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute scaled_amount numeric
@attribute scaled_time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Class {0,1}

@data
0.599553,-0.336595,1.268699,-0.920566,0.877254,-0.804437,-1.096655,0.60891,-1.234795,0.165809,-0.319038,0.523664,-1.098516,0.191304,1.854784,-0.660499,1.695872,-0.664001,-0.511906,1.375547,-1.164784,-0.273625,-0.162889,0.037428,-0.077256,-0.886992,0.045979,1.200098,0.01213,0.02422,0
0.19184,-0.994408,-1.793406,1.854604,0.979514,1.112262,-0.206403,-0.199546,0.616642,0.06418,0.690272,1.551724,-0.161965,0.424213,0.015944,-0.405833,0.27193,-1.423021,0.676324,-0.911048,0.461845,0.667847,-0.180723,0.235138,-0.091442,0.417654,0.122734,-0.232985,0.81188,0.618568,0
0.515719,0.415719,2.074532,-1.031369,-0.851606,-0.965264,-0.840359,-0.528017,-0.750734,-0.001029,-0.264108,0.897718,0.636263,-0.299787,-0.940723,0.159951,-0.505075,1.34306,-0.014712,-1.276365,1.173072,-0.018838,-0.22514,-0.838709,0.412308,-0.47999,-0.58746,-0.670194,-0.023529,-0.053834,0
1.872433,0.41425,-1.301757,-0.392949,1.304479,-2.264365,-0.296197,-0.336677,0.359442,0.010704,-0.684312,-0.118619,-1.217621,-1.598966,-1.111595,-0.398084,-0.268831,1.367534,-0.027873,-1.061202,0.020003,0.053592,0.120072,0.3258,-0.398286,0.736752,0.746596,-0.154448,0.240584,0.045151,0
9.989102,0.637336,-2.356348,1.74636,-6.374624,1.772205,-3.439294,1.457811,-0.362577,1.443791,-1.927359,-6.564659,2.450752,-5.694074,-1.155469,-7.132151,-0.059628,-4.596577,-5.522088,-3.529066,-0.663371,0.19481,0.857942,0.621203,0.964817,-0.619437,-1.732613,0.108361,1.130828,0.415703,1
-0.170882,-0.436407,1.176716,0.557091,-0.4908,0.756424,0.249192,-0.781871,0.22875,-0.04084,-0.432111,-0.585778,2.281939,0.654567,-0.310379,-1.043705,0.51375,0.399178,1.14313,0.256014,-0.51121,-0.102772,-0.062166,-0.128168,-0.040176,0.11004,0.437891,0.368809,-0.018287,0.031173,1
0.893531,-0.123743,-1.548788,1.808698,-0.953509,2.213085,-2.015728,-0.913457,-2.356013,1.197169,-1.678374,-3.53865,3.10209,-3.993373,-1.937411,-3.822894,0.83097,-2.475359,-5.211875,-0.413872,0.933262,0.390786,0.855138,0.774745,0.059037,0.3432,-0.468938,-0.278338,0.625922,0.395573,1
0.445857,0.107625,-6.185857,7.102985,-13.030455,8.010823,-7.885237,-3.97455,-12.229608,4.971232,-4.248307,-12.965481,8.688308,-17.182918,0.069577,-14.116156,0.959032,-12.375334,-18.716765,-6.522015,3.517955,0.48393,2.502772,0.481691,0.480958,0.360319,-0.293354,-0.199193,-0.203917,0.398927,1
-0.167528,-0.90484,0.70271,2.426433,-5.234513,4.416661,-2.170806,-2.667554,-3.878088,0.911337,-0.166199,-5.009249,4.675729,-8.167188,0.638559,-6.763334,1.29686,-3.811758,-3.754128,-1.049177,1.554197,0.422743,0.55118,-0.009802,0.721698,0.473246,-1.959304,0.319476,0.600485,0.129305,1
0.094174,-0.420677,-2.139051,1.394368,-0.612035,1.049327,-1.162102,-0.768219,-1.997237,0.574997,-0.980832,-2.495619,2.555589,-3.530436,-1.016234,-3.455197,-0.056363,-2.467737,-7.140326,-1.27128,-0.001722,0.025427,0.696955,0.740003,-0.155115,-0.050607,0.268368,-0.469433,-0.405814,-0.152171,1
0.286573,-0.034751,-1.422072,0.537346,0.974645,-2.598507,-0.617633,-0.627139,0.177823,0.573858,1.101008,-1.623316,1.102775,1.076845,-1.354289,0.465624,-0.672943,-0.677967,0.191529,-0.383091,0.116754,-0.285753,-0.071467,-0.173719,-0.083881,0.233708,-0.100905,-0.387986,-0.024712,0.075522,0
-0.095571,-0.111819,-1.026441,0.931276,2.37072,1.307484,-0.247382,0.797404,0.061407,0.382754,0.012053,0.044002,0.996475,0.961616,-0.434156,-0.306177,-0.976743,-1.206642,0.669321,-0.176134,1.130556,0.108987,0.016503,0.407211,-0.307829,0.264322,0.382971,-0.114096,0.113607,0.135563,0
1.186391,-0.579323,1.162489,-0.220658,-1.642305,-0.574789,2.24543,3.03557,-0.040237,0.655484,-0.32246,-0.035942,0.011541,0.085623,-0.052063,0.653313,0.96565,0.367748,-0.743836,-0.411274,0.452369,0.203644,-0.382429,-1.498879,0.031619,0.994325,0.410217,0.144091,-0.079196,0.0185,0
-0.170882,0.816365,-0.549615,2.219075,-3.522024,0.236995,1.087469,-1.23553,-0.279313,0.514361,-1.849927,-3.443819,2.214,-1.689836,0.498438,-4.393634,-1.270841,-1.176629,-1.859739,-0.049419,0.385263,0.126518,0.36413,0.210428,-0.366019,0.015803,0.349212,0.647302,0.171929,0.117188,1
0.036468,0.801703,2.253599,-1.484335,-0.712338,-1.656892,-1.34413,-0.288692,-1.37861,-0.01316,-1.23734,1.721567,0.337652,-0.286916,0.248331,-0.328685,-0.676144,-0.180071,0.115585,0.566204,0.148502,-0.433111,-0.114538,0.169835,0.207392,-0.491099,-0.282074,-0.16519,0.024315,-0.059555,0
-0.167528,-0.906555,0.00843,4.137837,-6.240697,6.675732,0.768307,-3.35306,-1.631735,0.154612,-2.795892,-6.187891,5.664395,-9.854485,-0.306167,-10.691196,-0.638498,-2.041974,-1.129056,0.116453,-1.934666,0.488378,0.364514,-0.608057,-0.539528,0.12894,1.488481,0.507963,0.735822,0.513574,1
-0.143915,-0.164391,-0.471699,1.02596,1.679729,-0.102561,-0.077655,-0.683551,0.629212,0.046948,-0.724357,-0.153824,1.544573,0.901745,0.277625,0.278093,0.09247,0.317971,-0.590573,0.031348,0.22397,0.125334,-0.158483,-0.414708,-0.013348,0.526409,-0.238948,0.039884,0.264097,0.113722,0
-0.170882,0.700317,-0.863577,1.706378,-3.506003,-0.539394,2.087152,-0.725556,0.570052,0.569982,-0.7677,-1.537713,-0.12306,-0.264674,-0.398345,-1.792348,-1.12025,1.199228,1.596539,1.739586,0.291351,-0.430682,0.125722,0.094617,-0.439144,-0.86796,-0.296254,0.542637,-0.500403,-0.08397,0
-0.169065,0.747615,2.127645,-0.027234,-1.526431,0.120161,0.544247,-0.34838,0.155774,-0.228843,0.478127,0.047467,-1.314094,0.508334,0.891212,0.081079,0.065002,0.109212,-0.623504,-0.671826,0.436296,-0.128024,-0.337158,-0.838357,0.276133,0.049089,-0.156365,0.206035,-0.072115,-0.059199,0
13.738717,0.737888,-1.611877,-0.40841,-3.829762,6.249462,-3.360922,1.147964,1.858425,0.474858,-3.838399,-1.445375,2.1139,-3.259702,-0.315347,-1.808103,-0.741877,-2.98692,-4.815863,-1.271655,1.701685,2.425677,1.245582,0.616383,2.251439,-0.066096,0.53871,0.541325,-0.136243,-0.009852,1
-0.167528,-0.89993,-1.783229,3.402794,-3.822742,2.625368,-1.976415,-2.731689,-3.430559,1.413204,-0.776941,-6.199882,4.366713,-8.243262,0.345761,-6.59055,0.265576,-3.028452,-4.214486,-1.213608,-0.265422,0.364089,0.454032,-0.577526,0.045967,0.4617,0.044146,0.305704,0.530981,0.243746,1
0.30278,0.956062,1.914159,-0.150418,-1.560722,0.410331,-0.084698,-0.977095,-0.039434,-0.05982,0.943463,-0.650635,1.129827,0.394982,-1.474952,-0.987868,-0.653501,0.150769,0.989174,0.544954,0.30978,-0.212841,-0.182278,-0.403152,0.184178,-0.129841,-0.17147,-0.106768,-0.019892,-0.029396,0
0.237669,0.596628,-1.835772,-0.422886,-0.572753,-3.529139,0.677296,-0.740506,0.62808,-1.647128,0.763625,0.833239,0.647941,-0.098949,-1.024701,0.099613,0.825451,-3.082214,-0.08917,2.073766,1.612072,-0.697327,0.358093,-0.171813,-0.727354,0.35682,0.295755,-0.744525,-1.146654,-0.541444,0
-0.167528,-0.524037,1.083693,1.179501,-1.34615,1.998824,0.818034,-0.771419,0.230307,0.093683,-0.167594,-1.959809,2.804335,0.312424,-0.595976,-4.662577,-0.299515,1.001414,3.902825,1.619609,-0.888087,-0.060159,-0.312,-0.6397,-0.120249,-0.180218,0.609283,-0.339524,0.096701,0.114972,1
-0.043873,0.795677,-1.472807,0.780066,-1.113006,-0.449668,1.001288,-0.661158,0.31365,0.663845,-0.687481,-1.542992,-1.400735,0.417852,1.182462,-0.569521,-0.241203,0.73035,0.454449,-0.000524,0.148152,-0.165373,-0.243909,-1.014636,0.110569,-0.031415,0.095841,0.203501,-0.314265,-0.312076,0
-0.170742,0.894948,-0.644278,5.002352,-8.252739,7.756915,-0.216267,-2.751496,-3.358857,1.406268,-4.403852,-5.945634,4.475905,-7.607261,-0.160723,-13.010749,1.094382,-2.864039,-2.871342,-0.180614,0.647709,0.816558,0.587728,-0.605759,0.033746,-0.75617,-0.008172,0.532772,0.66397,0.192067,1
1.410228,-0.306039,-0.451383,2.225147,-4.95305,4.342228,-3.65619,-0.020121,-5.407554,-0.748436,-1.362198,-4.170623,3.762306,-4.226225,-2.046694,-4.710498,0.217572,-4.739084,-6.131887,-2.425871,2.314165,0.724381,-0.575924,0.495889,1.154128,-0.016186,-2.079928,-0.554377,0.455179,0.001321,1
1.215593,-0.682648,-19.856322,12.095893,-22.464083,6.115541,-15.148022,-4.346724,-15.648507,13.276805,-3.974162,-8.859194,5.730816,-8.088034,0.230825,-8.578973,0.000947,-6.947746,-13.472897,-4.940211,1.230143,1.58293,1.75073,-1.409636,-0.809809,0.121397,1.3503,-0.224292,1.597621,0.47692,1
9.838759,-0.61028,-2.179135,0.020218,-2.182733,2.572046,-3.663733,0.081568,0.268049,0.660437,-2.374027,-3.58281,1.975821,-3.500542,0.170681,-2.73594,1.670251,-4.046293,-5.079479,-2.586857,1.669261,1.95796,1.026421,0.299614,1.6568,0.328433,0.106457,0.691775,0.196779,0.241085,1
0.878441,0.179112,-1.276143,1.315942,0.10374,4.796308,0.769169,0.161135,0.616128,0.186369,-1.167958,1.5321,1.36509,-2.531254,1.510952,2.385648,-1.291388,-0.442344,1.030343,0.829404,1.29564,-0.052577,0.2389,1.167538,-0.046159,0.079838,-0.091193,0.628306,0.100351,0.140127,0
9.923432,0.649189,-2.921944,-0.228062,-5.877289,2.201884,-1.93544,0.631141,-1.245106,1.511348,-1.899987,-6.428231,4.229154,-5.292314,-0.888087,-7.67225,0.547571,-4.30706,-5.701174,-1.772803,-0.193132,2.230735,1.441622,0.895528,1.385511,-2.028024,0.509131,0.172643,0.726781,0.234514,1
-0.167528,-0.905569,0.725646,2.300894,-5.329976,4.007683,-1.730411,-1.732193,-3.968593,1.063728,-0.486097,-4.624985,5.588724,-7.148243,1.680451,-6.210258,0.495282,-3.59954,-4.830324,-0.64909,2.250123,0.504646,0.589669,0.109541,0.601045,-0.3647,-1.843078,0.351909,0.59455,0.099372,1
-0.041777,-0.043386,0.970334,-0.306599,1.274298,0.717258,-0.370354,1.565939,-0.89948,0.607173,0.772063,-0.455451,0.650963,1.338856,0.695945,-0.422684,1.179688,-1.234854,1.103284,-2.382174,-1.719818,-0.195401,0.05892,0.549158,0.189067,-0.56617,-0.077621,0.422045,0.093649,0.017753,0
-0.022495,-0.511172,-7.334341,4.960892,-8.45141,8.174825,-7.237464,-2.382711,-11.508842,4.635798,-6.55776,-11.519861,6.455828,-13.380222,0.545279,-13.026864,-0.453595,-13.251542,-22.883999,-9.287832,4.038231,0.723314,2.153755,0.033922,-0.014095,0.62525,-0.05339,0.164709,1.411047,0.315645,1
2.276233,0.518221,-2.272473,2.935226,-4.871394,2.419012,-1.513022,-0.480625,-2.126136,1.883507,-1.297262,-5.487425,2.96924,-3.055405,-0.316544,-7.862809,-2.2028,-1.932316,-2.284748,0.324787,-0.183181,-0.031085,0.718504,0.89385,-0.031632,0.322913,-0.058406,-0.411649,0.573803,0.176067,1
-0.155093,0.560503,-7.759358,7.136376,-4.344553,-3.228242,-0.259716,-1.894026,1.583303,-0.315289,7.045127,11.068569,-0.367493,-1.217596,-2.558858,-1.788578,0.688954,-1.463449,-0.832831,-0.679719,-1.185779,4.68258,-0.928126,-0.057527,0.202182,0.571287,1.447331,0.165813,3.791054,2.03514,0
-0.167528,0.89402,2.132386,0.705608,-3.530759,0.514779,1.527175,-1.716268,1.132791,-0.574214,0.128904,-1.000805,-0.191191,-0.323794,-0.572456,-1.422064,0.314684,-0.387162,1.734742,0.610976,-0.221267,-0.211167,0.163739,0.70391,-0.245076,0.460049,0.920281,-0.216586,-0.026219,-0.025001,1
