@relation creditcard-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute scaled_amount numeric
@attribute scaled_time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Class {0,1}

@data
-0.143915,-0.276997,0.412622,1.968397,-2.032538,1.645347,0.6859,-1.697466,0.571088,0.221355,-0.937972,-1.273639,2.61983,0.789806,0.730862,-3.196091,0.221152,1.050615,2.761055,1.860877,-0.211214,0.053963,-0.028615,0.053216,0.139509,0.214768,-0.460391,-0.43201,0.134686,-0.053151,0
-0.104793,0.114039,-0.4121,1.642684,-0.493827,2.034164,1.119937,-0.642754,1.016183,-2.652622,0.920557,1.303951,0.41235,-2.81388,1.657511,1.833498,0.590955,-1.736571,1.083026,0.288735,2.034281,-0.206511,1.521726,0.480074,0.288669,-0.009733,-0.902404,-0.33931,-0.068317,-0.089548,0
-0.110242,-0.517458,-1.668942,1.754065,0.60273,1.072676,-0.402204,-0.197214,0.120875,0.456563,0.896876,1.580172,-0.580618,-0.384751,-1.252516,0.04881,0.967981,-0.850966,0.500993,-0.574149,0.397837,0.585159,-0.338122,-0.318689,0.107338,-0.007232,0.028205,-0.369574,0.561023,0.189298,0
-0.111639,-0.435585,1.2882,-0.140823,0.03895,-1.47788,-0.435072,-1.06403,0.068445,-0.238999,1.017121,-1.11008,0.337114,1.238843,0.938374,0.224062,1.787293,-0.873026,0.11549,-0.916703,0.46377,-0.055234,-0.145781,-0.242775,0.047735,0.134504,0.405431,-0.153751,0.017583,0.012945,0
-0.111779,0.631884,-1.221193,-0.144397,2.296912,0.18973,0.835248,-0.34855,-0.198371,-0.102187,0.388818,-0.433242,-0.45551,0.36541,0.683183,-0.576748,0.956231,-0.658484,-0.05607,0.191786,0.760638,0.075219,0.160583,0.832497,-0.55024,1.170395,0.477859,0.002616,-0.09672,-0.152131,0
0.78259,-0.630075,1.146522,-0.944866,0.689739,-0.799348,-1.023734,0.415142,-1.054047,0.310509,-0.746305,0.685698,1.786432,0.005015,-0.291905,0.015936,0.856497,0.989483,0.458955,-1.3786,-0.130614,0.118958,0.438589,1.091075,-0.079503,-0.261471,0.236026,-0.067471,0.041481,0.014432,0
0.207349,0.442387,2.060108,-0.575331,-1.571736,-0.724532,0.154826,-0.190463,-0.143949,-0.102877,1.029961,-0.16233,-0.100304,1.031743,0.26078,0.09135,-0.976617,-0.17791,-0.527204,0.081588,1.124421,-0.104102,0.054603,0.419721,-0.084439,-0.980463,0.118048,1.047456,-0.092321,-0.091509,0
-0.153556,0.641201,-0.731238,1.059038,-0.811408,-0.399397,0.665547,-0.491093,0.371541,0.31079,0.310697,-1.075522,-1.45073,-0.654725,-1.084408,-1.032736,-0.693105,0.191239,0.931531,0.324119,-0.152017,-0.373072,0.114858,0.270021,-0.044199,0.343572,-0.121814,0.52806,-0.501969,0.049042,0
0.166411,-0.464497,-0.962105,0.547239,1.171957,-2.524646,0.136357,-0.65993,0.416961,-0.000962,-0.979063,-0.596919,-1.175289,-1.621452,-0.287325,-1.600359,-0.047504,2.453353,0.076878,-0.507737,-0.831993,0.105559,-0.01978,-0.202064,-0.383739,-0.73612,0.695345,-0.454226,0.133019,0.118965,0
1.215733,0.407202,-1.134626,-0.067462,2.846577,1.04578,-0.289027,0.262461,-0.061677,0.177473,0.520181,-0.160575,-1.06032,-0.610683,-0.499409,-0.504793,1.402021,0.149897,-0.456453,0.924359,0.168345,0.558759,0.256343,0.824073,-0.121654,-0.047446,0.402015,-0.291359,0.184423,-0.051005,0
0.726701,-0.137559,1.081187,-0.8376,0.655179,-0.759844,-0.596524,0.91217,-0.903502,0.387883,-0.778486,0.380454,1.103089,0.09571,0.413475,-0.135125,1.946517,-0.052018,1.476037,-3.503901,-1.170554,0.060259,0.169211,0.415767,0.215934,-0.627563,-0.125285,-0.310206,0.080974,0.023395,0
